Country name,Pred 2023,Pred 2024,Pred 2025,Pred 2026,Pred 2027,Pred 2028,True 2023,Squared Error
Serbia,0.74112487,0.72104514,0.7111825,0.7063747,0.7040396,0.7029075,0.7658058771148708,0.0006091521915318103
South Korea,0.7013119,0.70514226,0.7068983,0.7077044,0.7080747,0.7082447,0.7169783318492134,0.0002454375158150495
Sweden,0.8548244,0.8212658,0.8022382,0.79158473,0.7856622,0.78238267,0.8726625111308992,0.00031819735998233256
Greece,0.69547194,0.70049745,0.703043,0.7043347,0.70499057,0.70532393,0.6700801424755121,0.0006447435046633471
Lithuania,0.7765035,0.73755723,0.7185599,0.709406,0.7050214,0.7029271,0.7824280201840308,3.509990004136215e-05
Vietnam,0.6719296,0.64346504,0.6317929,0.627046,0.62512195,0.6243433,0.7485900860789552,0.00587683045479431
Netherlands,0.86155874,0.8375258,0.8248941,0.8183041,0.8148795,0.8131034,0.8866132383496586,0.0006277281195258505
Slovakia,0.75145996,0.7710701,0.781426,0.7869303,0.7898659,0.7914345,0.7390917186108638,0.00015297330029766858
Taiwan Province of China,0.7321619,0.706352,0.69511545,0.6902602,0.688169,0.6872698,0.7975660433363015,0.0042777046419601875
Tunisia,0.4396262,0.4389249,0.43873885,0.4386895,0.43867645,0.43867296,0.47848026120510534,0.0015096390756447451
Cyprus,0.6977184,0.7050256,0.70811015,0.70941484,0.7099673,0.7102012,0.7108934401899673,0.00017358216142587652
Lebanon,0.29155192,0.316754,0.3216929,0.3226665,0.32285863,0.32289654,0.34238646482635793,0.002584151172252748
Kazakhstan,0.7109357,0.7155956,0.71784353,0.71892977,0.7194549,0.7197089,0.7447313742950431,0.0011421467993789937
Portugal,0.7162212,0.72652894,0.7312089,0.7333395,0.7343106,0.7347535,0.6935292371623627,0.0005149257828809177
Brazil,0.6933005,0.6734226,0.6648034,0.6610892,0.65949297,0.65880764,0.7824280201840308,0.007943717419073588
Thailand,0.7083745,0.71131885,0.7125634,0.7130898,0.7133126,0.7134068,0.7422083704363313,0.00114473077011695
